Wavelength,Flux
8032.2085, 1.1320e+02
8052.2140, 1.1180e+02
8072.2190, 1.1230e+02
8092.2246, 1.0980e+02
8112.2300, 1.1170e+02
8132.2354, 1.1180e+02
8152.2407, 1.1100e+02
8172.2460, 1.1070e+02
8192.2520, 1.0660e+02
8212.2570, 1.0830e+02
8232.2630, 1.0760e+02
8252.2680, 1.0780e+02
8272.2730, 1.0790e+02
8292.2780, 1.0750e+02
8312.2840, 1.0700e+02
8332.2890, 1.0350e+02
8352.2950, 1.0540e+02
8372.3000, 1.0530e+02
8392.3060, 1.0430e+02
8412.3120, 1.0460e+02
8432.3160, 1.0290e+02
8452.3220, 1.0340e+02
8472.3270, 1.0260e+02
8492.3330, 9.7200e+01
8512.3380, 1.0040e+02
8532.3440, 9.7400e+01
8552.3490, 8.7800e+01
8572.3545, 1.0120e+02
8592.3590, 9.9800e+01
8612.3650, 9.9800e+01
8632.3700, 1.0000e+02
8652.3760, 9.7100e+01
8672.3820, 8.8100e+01
8692.3870, 9.6800e+01
8702.3900, 9.6000e+01
8722.3950, 9.5300e+01
8742.4000, 9.5600e+01
8762.4050, 9.5800e+01
8782.4110, 9.3400e+01
8802.4170, 9.3500e+01
8822.4220, 9.2300e+01
8842.4280, 9.3700e+01
8862.4330, 9.2200e+01
8882.4380, 9.2400e+01
8902.4430, 9.2000e+01
8922.4490, 9.1100e+01
8942.4540, 9.1400e+01
8962.4600, 9.1900e+01
8982.4650, 8.9400e+01
9002.4710, 8.8900e+01
9022.4760, 8.9100e+01
9042.4810, 8.8100e+01
9062.4870, 8.8100e+01
9082.4920, 8.5400e+01
9102.4980, 8.6500e+01
9122.5030, 8.7300e+01
9142.5090, 8.6500e+01
9162.5140, 8.6000e+01
9182.5200, 8.6100e+01
9202.5240, 8.3500e+01
9222.5300, 8.2800e+01
9242.5350, 8.3400e+01
9262.5410, 8.3900e+01
9282.5470, 8.4500e+01
9302.5520, 8.4000e+01
9322.5580, 8.4800e+01
9342.5625, 8.3500e+01
9362.5680, 8.2000e+01
9382.5730, 8.2800e+01
9402.5790, 8.2100e+01
9422.5840, 8.0600e+01
9442.5900, 8.2200e+01
9462.5950, 8.1700e+01
9482.6010, 8.0100e+01
9502.6060, 8.0300e+01
9522.6110, 7.9600e+01
9542.6170, 7.8500e+01
9562.6220, 7.9900e+01
9582.6280, 7.9600e+01
9600.4786, 7.9357e+01
9601.4579, 7.8542e+01
9602.4373, 7.8297e+01
9603.4168, 7.9574e+01
9604.3964, 7.8922e+01
9605.3760, 7.6885e+01
9606.3558, 7.7102e+01
9607.3357, 7.8406e+01
9608.3157, 7.8270e+01
9609.2958, 7.7292e+01
9610.2760, 7.8107e+01
9611.2563, 7.9140e+01
9612.2367, 7.9955e+01
9613.2172, 8.0389e+01
9614.1978, 8.0308e+01
9615.1785, 8.0281e+01
9616.1593, 8.0416e+01
9617.1402, 8.0145e+01
9618.1212, 7.9656e+01
